"source","target","weight"
"PNEU_Y","PNEU_Y",0.935504885993485
"PNEU_Y","PTHX_N",0.0156351791530945
"PNEU_Y","PTHX_Y",0.00195439739413681
"PTHX_N","COPD_N",0.00902109893387013
"PTHX_N","COPD_Y",0.00134198165958399
"PTHX_N","ILD _N",0.00961753522701856
"PTHX_N","ILD _Y",0.000745545366435548
"PTHX_N","PEFF_N",0.00924476254380079
"PTHX_N","PEFF_Y",0.000894654439722657
"PTHX_N","PEMB_N",0.00603891746812794
"PTHX_N","PEMB_Y",0.00119287258629688
"PTHX_N","PNEU_N",0.00917020800715724
"PTHX_N","PNEU_Y",0.00134198165958399
"PTHX_N","PTHX_N",0.950346678595393
"PTHX_N","PTHX_Y",0.00104376351300977
"PTHX_Y","COPD_N",0.0123376623376623
"PTHX_Y","COPD_Y",0.0025974025974026
"PTHX_Y","ILD _N",0.00844155844155844
"PTHX_Y","ILD _Y",0.000649350649350649
"PTHX_Y","PEFF_N",0.00714285714285714
"PTHX_Y","PEFF_Y",0.000649350649350649
"PTHX_Y","PEMB_N",0.00584415584415584
"PTHX_Y","PEMB_Y",0.000649350649350649
"PTHX_Y","PNEU_N",0.0103896103896104
"PTHX_Y","PNEU_Y",0.000649350649350649
"PTHX_Y","PTHX_N",0.00844155844155844
"PTHX_Y","PTHX_Y",0.942207792207792
